facility_name,address,suburb,postcode,state,latitude,longitude,coord_source,duplicate_count,source_file,source_provenance,ewaste_match_flag,ewaste_match_text,ewaste_match_column,review_flag,dedupe_key,original_latitude,original_longitude,original_coord_source,maptiler_query,maptiler_place_name,maptiler_match_score,maptiler_feature_id
ASHFORD RURAL TRANSFER STATION,159 LIMESTONE ROAD,ASHFORD,2361,NSW,-29.325729806270473,151.0945361852646,maptiler_other,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,ashford rural transfer station|2361,-29.32,151.1,postcode_fallback,"ASHFORD RURAL TRANSFER STATION, 159 LIMESTONE ROAD, ASHFORD, NSW, 2361, Australia","Ashford, New South Wales, Australia",11,municipality.133566
DOMAYNE FYSHWICK,80 COLLIE STREET,FYSHWICK,2609,ACT,-35.32884845069557,149.17984685940905,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,domayne fyshwick|2609,-35.3,149.19,postcode_fallback,"DOMAYNE FYSHWICK, 80 COLLIE STREET, FYSHWICK, ACT, 2609, Australia","Collie Street, Fyshwick, Canberra Central Australian Capital Territory 2609, Australia",25,address.11874069
BLAXLAND RESOURCE RECOVERY AND WASTE MANAGEMENT FA,28-30 ATTUNGA ROAD,BLAXLAND,2774,NSW,-33.73664743676722,150.60944864770636,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,blaxland resource recovery and waste management fa|2774,-33.74,150.61,postcode_fallback,"BLAXLAND RESOURCE RECOVERY AND WASTE MANAGEMENT FA, 28-30 ATTUNGA ROAD, BLAXLAND, NSW, 2774, Australia","Attunga Road, Blaxland, New South Wales 2774, Australia",25,address.2682801
OLD QUARRY ROAD WASTE MANAGEMENT FACILITY,LOT 422 OLD QUARRY ROAD,NORTHAM,6401,WA,-31.645766195024354,116.63596111799416,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,old quarry road waste management facility|6401,-31.54,116.61,postcode_fallback,"OLD QUARRY ROAD WASTE MANAGEMENT FACILITY, NORTHAM, WA, Australia","Old Quarry Road, Northam, Western Australia, Australia",17,address.796772
LONGFORD TRANSFER STATION AND TIP SHOP,291 MARLBOROUGH STREET,LONGFORD,7301,TAS,-41.621464267364985,147.1132491309445,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,longford transfer station and tip shop|7301,-41.62,146.99,postcode_fallback,"291 MARLBOROUGH STREET, LONGFORD, TAS, 7301, Australia","Marlborough Street, Longford, Tasmania, Australia",21,address.6464947
HARVEY NORMAN,41-49 WILLARONG ROAD,CARINGBAH,2229,NSW,-34.029515,151.12097600000004,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,harvey norman|2229,-34.04,151.12,postcode_fallback,"41-49 WILLARONG ROAD, CARINGBAH, NSW, 2229, Australia","41-49 Willarong Road, Caringbah, New South Wales 2229, Australia",41,address.5299996
OFFICEWORKS,240-260 HILLSBOROUGH ROAD,WARNERS BAY,2282,NSW,-32.964381,151.66124200000002,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks|2282,-32.99,151.64,postcode_fallback,"OFFICEWORKS, 240-260 HILLSBOROUGH ROAD, WARNERS BAY, NSW, 2282, Australia","240-260 Hillsborough Road, Warners Bay, Newcastle-Maitland New South Wales 2282, Australia",41,address.12552998
OFFICEWORKS,22 ORANGE GROVE ROAD,WARWICK FARM,2170,NSW,-33.90783884668855,150.91887280201104,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks|2170,-33.95,150.91,postcode_fallback,"OFFICEWORKS, 22 ORANGE GROVE ROAD, WARWICK FARM, NSW, 2170, Australia","Orange Grove Road, Warwick Farm, New South Wales 2170, Australia",25,address.8495461
AMERY REFUSE SITE,CNR DOWERIN/KALANNIE ROADS,MINNIVALE,6462,WA,-31.05620835819989,117.17790314848219,maptiler_other,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,amery refuse site|6462,-31.27,117.23,postcode_fallback,"AMERY REFUSE SITE, MINNIVALE, WA, Australia","Minnivale, Western Australia, Australia",11,municipality.172223
OFFICEWORKS,105 CAMPBELL STREET,HOBART,7000,TAS,-42.877037613184406,147.32711512357628,maptiler_address,1,147594_01_1.csv,147594_01_1.csv,1,E-WASTE DROP-OFF FACILITY,facility_infrastructure_type,,officeworks|7000,-42.87,147.33,postcode_fallback,"OFFICEWORKS, 105 CAMPBELL STREET, HOBART, TAS, 7000, Australia","Campbell Street, Hobart, Tasmania 7000, Australia",29,address.2732597
