year,sex,cancer_type,cancer_cases,cancer_deaths,fatality_ratio
1982,females,Acute lymphoblastic leukaemia,95.0,63.0,0.663158
1982,females,Acute myeloid leukaemia,194.0,176.0,0.907216
1982,females,Anal cancer,35.0,9.0,0.257143
1982,females,Bladder cancer,582.0,175.0,0.300687
1982,females,Bowel cancer,3444.0,1787.0,0.518873
1982,females,Brain cancer,363.0,287.0,0.790634
1982,females,Breast cancer,5303.0,1987.0,0.374694
1982,females,Cervical cancer,963.0,346.0,0.359294
1982,females,Chronic lymphocytic leukaemia,141.0,63.0,0.446809
1982,females,Chronic myeloid leukaemia,86.0,69.0,0.802326
1982,females,Colon cancer,2401.0,1396.0,0.581424
1982,females,Head and neck excluding lip,429.0,178.0,0.414918
1982,females,Head and neck including lip,532.0,182.0,0.342105
1982,females,Hodgkin lymphoma,126.0,44.0,0.349206
1982,females,Kidney cancer,259.0,192.0,0.741313
1982,females,Laryngeal cancer,65.0,23.0,0.353846
1982,females,Liver cancer,61.0,97.0,1.590164
1982,females,Lung cancer,1256.0,1061.0,0.844745
1982,females,Melanoma of the skin,1794.0,216.0,0.120401
1982,females,Myeloma,261.0,169.0,0.64751
1982,females,Non-Hodgkin lymphoma,757.0,365.0,0.482166
1982,females,Oesophageal cancer,220.0,189.0,0.859091
1982,females,Ovarian cancer,830.0,587.0,0.707229
1982,females,Pancreatic cancer,506.0,497.0,0.982213
1982,females,Rectal cancer,1043.0,391.0,0.37488
1982,females,Stomach cancer,674.0,524.0,0.777448
1982,females,Thyroid cancer,259.0,46.0,0.177606
1982,females,Tongue cancer,88.0,38.0,0.431818
1982,females,Unknown primary site,1026.0,593.0,0.577973
1982,females,Uterine cancer,942.0,222.0,0.235669
1982,males,Acute lymphoblastic leukaemia,129.0,74.0,0.573643
1982,males,Acute myeloid leukaemia,209.0,198.0,0.947368
1982,males,Anal cancer,22.0,12.0,0.545455
1982,males,Bladder cancer,1570.0,428.0,0.272611
1982,males,Bowel cancer,3516.0,1830.0,0.520478
1982,males,Brain cancer,492.0,376.0,0.764228
1982,males,Breast cancer,61.0,17.0,0.278689
1982,males,Chronic lymphocytic leukaemia,240.0,89.0,0.370833
1982,males,Chronic myeloid leukaemia,134.0,89.0,0.664179
1982,males,Colon cancer,2129.0,1317.0,0.6186
1982,males,Head and neck excluding lip,1381.0,560.0,0.405503
1982,males,Head and neck including lip,1941.0,570.0,0.293663
1982,males,Hodgkin lymphoma,202.0,79.0,0.391089
1982,males,Kidney cancer,533.0,296.0,0.555347
1982,males,Laryngeal cancer,488.0,169.0,0.346311
1982,males,Liver cancer,168.0,185.0,1.10119
1982,males,Lung cancer,4688.0,4227.0,0.901664
1982,males,Melanoma of the skin,1740.0,380.0,0.218391
1982,males,Myeloma,311.0,183.0,0.588424
1982,males,Non-Hodgkin lymphoma,827.0,430.0,0.519952
1982,males,Oesophageal cancer,318.0,338.0,1.062893
1982,males,Pancreatic cancer,697.0,671.0,0.962697
