report_year,state,metal,total_air_emission_kg,total_water_emission_kg,total_land_emission_kg,facility_count
1998/1999,ACT,Cadmium & compounds,98.03,0.0,0.0,3
1998/1999,ACT,Lead & compounds,780.04,0.0,0.0,2
1998/1999,ACT,Mercury & compounds,133.52,0.0,0.0,2
1998/1999,NSW,Cadmium & compounds,70.73443999999999,0.2,0.0073,20
1998/1999,NSW,Lead & compounds,1626.623998,1.4335,133.1546,44
1998/1999,NSW,Mercury & compounds,274.10456,0.0,4.1e-05,26
1998/1999,NT,Cadmium & compounds,48.745258557084,0.001,0.0,37
1998/1999,NT,Lead & compounds,4098.979129456395,1.61,0.0,21
1998/1999,NT,Mercury & compounds,25.4236877368898,0.0005,0.0,14
1998/1999,QLD,Cadmium & compounds,259.0931,35.062999999999995,0.0,21
1998/1999,QLD,Lead & compounds,4043.6655,164.62,150.07,37
1998/1999,QLD,Mercury & compounds,811.603,15.46,0.0,19
1998/1999,SA,Cadmium & compounds,44.22002,15.95,0.008,14
1998/1999,SA,Lead & compounds,580.12029,10239.8,0.08,15
1998/1999,SA,Mercury & compounds,14.200004700000001,27.5,0.0084,14
1998/1999,TAS,Cadmium & compounds,9.033,0.0,0.0,7
1998/1999,TAS,Lead & compounds,81.172,257.23199999999997,0.0,11
1998/1999,TAS,Mercury & compounds,7.669999999999999,16.0,0.0,6
1998/1999,VIC,Cadmium & compounds,66.96770000000001,1.0,0.0,29
1998/1999,VIC,Lead & compounds,347.3042,2.84,0.0,33
1998/1999,VIC,Mercury & compounds,41.5947,1.0,0.0,30
1998/1999,WA,Cadmium & compounds,500.49301699999995,263.72528,29.665,52
1998/1999,WA,Lead & compounds,8302.7720355,512.75268,387.0801,68
1998/1999,WA,Mercury & compounds,929.579237521,36.05748,8.1421,51
1999/2000,ACT,Cadmium & compounds,122.77850000000001,3.200000172,0.0,8
1999/2000,ACT,Lead & compounds,205.83522,14.600000773,0.0,7
1999/2000,ACT,Mercury & compounds,245.51932,4.9000000073,0.0,9
1999/2000,NSW,Cadmium & compounds,1012.240981,626.35,19.995435691999997,67
1999/2000,NSW,Lead & compounds,33906.471275,1864.9419825,1607.872118,96
1999/2000,NSW,Mercury & compounds,1057.248501,4.34,1.57,66
1999/2000,NT,Cadmium & compounds,131.6562645869456,13.0,6.866765792800001,55
1999/2000,NT,Lead & compounds,7655.22860170943,11.1,716.10004695,37
1999/2000,NT,Mercury & compounds,42.97806100841823,0.4,1.7624628161000002,31
1999/2000,QLD,Cadmium & compounds,7869.1602746088,119.546541623,1398.3106308705055,136
1999/2000,QLD,Lead & compounds,563359.105284053,1099.9077135960001,2381.9760259171558,152
1999/2000,QLD,Mercury & compounds,3265.6209549966247,5.275355446,3.60795506587696,132
1999/2000,SA,Cadmium & compounds,153.28453,1116.14,0.0482,49
1999/2000,SA,Lead & compounds,28744.238663,22942.857,0.280583,56
1999/2000,SA,Mercury & compounds,38.354927,26.85,0.0318,50
1999/2000,TAS,Cadmium & compounds,48.1503,1589.4623,0.3,44
1999/2000,TAS,Lead & compounds,4274.2853,4976.044,296.7,47
1999/2000,TAS,Mercury & compounds,175.03073,40.2746,0.0,39
1999/2000,VIC,Cadmium & compounds,274.3996,86.181,270.0,104
1999/2000,VIC,Lead & compounds,4081.8026999999997,1439.555,7020.567,115
1999/2000,VIC,Mercury & compounds,654.5386,27.00602,10.0,105
1999/2000,WA,Cadmium & compounds,1663.5382241940001,247.42227,235.79976,98
1999/2000,WA,Lead & compounds,71888.39160336,779.689,33883.711000595,124
1999/2000,WA,Mercury & compounds,2142.58890776,30.63943,44.40282005,93
2000/2001,ACT,Cadmium & compounds,41.3280047,3.42,0.0034,6
2000/2001,ACT,Lead & compounds,51.6479,14.63,0.019,5
2000/2001,ACT,Mercury & compounds,87.4641,0.0,0.0,3
2000/2001,NSW,Cadmium & compounds,865.1028,910.7280000000001,21.0,96
2000/2001,NSW,Lead & compounds,44466.754447,3712.7117,351.758,127
2000/2001,NSW,Mercury & compounds,1415.0615088,37.5163,1.31,102
2000/2001,NT,Cadmium & compounds,139.54271076,978.23,4.209535,30
2000/2001,NT,Lead & compounds,11143.646502839,19346.0,854.9151589999999,33
2000/2001,NT,Mercury & compounds,33.663849635,1.0,1.9971543,26
2000/2001,QLD,Cadmium & compounds,7797.4685472987,129.553944599,1167.0901442097172,197
2000/2001,QLD,Lead & compounds,276280.823188916,1899.36772442,871.410157666186,217
2000/2001,QLD,Mercury & compounds,2007.0111387735035,17.152795162,1.33197170923471,201
2000/2001,SA,Cadmium & compounds,3372.8197099999998,922.74,0.0334,55
2000/2001,SA,Lead & compounds,91444.24626500001,13670.6,0.2213,54
2000/2001,SA,Mercury & compounds,175.48066899999998,33.4,0.1017,57
2000/2001,TAS,Cadmium & compounds,82.0678,1059.4624919999999,0.0,37
2000/2001,TAS,Lead & compounds,3191.671,4303.698263,5652.5,40
2000/2001,TAS,Mercury & compounds,300.93143299999997,38.856210000000004,0.0,36
2000/2001,VIC,Cadmium & compounds,863.0292000000001,307.53,200.303342,143
2000/2001,VIC,Lead & compounds,4567.21762,1529.05,5281.415141,156
2000/2001,VIC,Mercury & compounds,407.358204,65.0,10.013007270000001,149
2000/2001,WA,Cadmium & compounds,1473.717075,612.87,43.597600134,125
2000/2001,WA,Lead & compounds,68178.483909,5437.9169999999995,43980.542350595,152
2000/2001,WA,Mercury & compounds,2274.377392,11.693137,38.906500005,116
2001/2002,ACT,Cadmium & compounds,8.004,1.379,0.00233,2
2001/2002,ACT,Lead & compounds,84.1025,14.7914,0.0238,4
2001/2002,ACT,Mercury & compounds,3.0515,0.0,0.0,2
2001/2002,NSW,Cadmium & compounds,1258.091412,550.7111,19.43,130
2001/2002,NSW,Lead & compounds,39591.995993,8935.45,390.138,172
2001/2002,NSW,Mercury & compounds,1154.4199447,7.76510025,1.09,134
2001/2002,NT,Cadmium & compounds,141.484714973,28.185263538999997,0.912006539,31
2001/2002,NT,Lead & compounds,14231.85423403,25.514443144,11.907494147,34
2001/2002,NT,Mercury & compounds,29.359152838,2.4623294369999997,0.068651117,29
2001/2002,QLD,Cadmium & compounds,10276.471381848121,120.373888,140.609594392,221
2001/2002,QLD,Lead & compounds,442887.021279331,721.2873411,185215.169334268,243
2001/2002,QLD,Mercury & compounds,1836.58408177613,4.732406405,7.3808758028,223
2001/2002,SA,Cadmium & compounds,3222.44002,835.0,0.21589999999999998,75
2001/2002,SA,Lead & compounds,76350.91849,11366.6325,0.3462,78
2001/2002,SA,Mercury & compounds,1014.1337,29.051099999999998,54.42626,77
2001/2002,TAS,Cadmium & compounds,84.15332599999999,993.899,9.673717575,47
2001/2002,TAS,Lead & compounds,3046.6736,4556.621,29.554236085,49
2001/2002,TAS,Mercury & compounds,387.17797297,40.076,0.006992868,47
2001/2002,VIC,Cadmium & compounds,330.8652,691.1,337.986109,182
2001/2002,VIC,Lead & compounds,5270.3683,913.173,7390.12477,199
2001/2002,VIC,Mercury & compounds,467.945959,53.774,112.8849828,188
2001/2002,WA,Cadmium & compounds,1695.36391111,346.947033117,381.262935,139
2001/2002,WA,Lead & compounds,57673.780890248,1649.30156134,1988.416978,174
2001/2002,WA,Mercury & compounds,2439.294433473,11.087056508,38.04261536,134
2002/2003,ACT,Cadmium & compounds,5.065,1.9030000029802323,0.003,5
2002/2003,ACT,Lead & compounds,67.2527,5.676,0.01,4
2002/2003,ACT,Mercury & compounds,12.907,0.1000000014901161,0.0,4
2002/2003,NSW,Cadmium & compounds,1323.6733125,851.6100328,243.32457,148
2002/2003,NSW,Lead & compounds,38191.9842548,3627.411015,6723.079,193
2002/2003,NSW,Mercury & compounds,1605.8574269,12.240671760000001,39.232479999999995,157
2002/2003,NT,Cadmium & compounds,136.97870096713186,28.170101251787855,0.7138544459120019,26
2002/2003,NT,Lead & compounds,14553.433721696143,26.56003514677286,10.195849056682922,31
2002/2003,NT,Mercury & compounds,29.860933632652248,0.6808120721912927,0.038560692698863516,24
2002/2003,QLD,Cadmium & compounds,7830.3728000176,100.7656,500.9182,249
2002/2003,QLD,Lead & compounds,402550.556800008,910.891,40610.3079,267
2002/2003,QLD,Mercury & compounds,2504.9826293041997,17.1477,4.0662848,242
2002/2003,SA,Cadmium & compounds,3381.5186968654148,528.8500007658452,0.9604999997420233,81
2002/2003,SA,Lead & compounds,55008.01487485127,4381.129999241531,1.0519999981774013,87
2002/2003,SA,Mercury & compounds,790.2494288723246,42.16000002317131,0.056999999951570804,77
2002/2003,TAS,Cadmium & compounds,80.67811560122169,926.8336703239474,1.0209084516245635,48
2002/2003,TAS,Lead & compounds,3645.9055123418902,5138.810599973425,279.00201561301947,50
2002/2003,TAS,Mercury & compounds,434.7049520920947,43.74807137010067,0.009500291031144715,46
2002/2003,VIC,Cadmium & compounds,424.6598,243.98,112.8115361,200
2002/2003,VIC,Lead & compounds,6472.8013,641.9,2754.852013,217
2002/2003,VIC,Mercury & compounds,217.38836,57.934000000000005,10.120355721,204
2002/2003,WA,Cadmium & compounds,1194.769643766603,220.77849893534926,792.67292619151,153
2002/2003,WA,Lead & compounds,70166.73610731059,1516.4195603400528,1485.425176190027,179
2002/2003,WA,Mercury & compounds,2371.0304934578426,47.75779692778678,25.738543265781058,146
2003/2004,ACT,Cadmium & compounds,27.275999992683527,1.0,0.0,7
2003/2004,ACT,Lead & compounds,112.67496980914743,0.4070000059604645,0.009,8
2003/2004,ACT,Mercury & compounds,1.4280600544574114,2.200000047683716,0.0,7
2003/2004,NSW,Cadmium & compounds,777.0892718,522.8015129,5.055700000000001,161
2003/2004,NSW,Lead & compounds,21896.95367735,3489.4394355,50.838,194
2003/2004,NSW,Mercury & compounds,1737.10680235,3.3956218,0.2595,159
2003/2004,NT,Cadmium & compounds,71.29046045485616,37.33599999865889,3.4143795779696906,33
2003/2004,NT,Lead & compounds,3014.6049425770057,66.61,51.93152377562542,32
2003/2004,NT,Mercury & compounds,27.25650955929641,1.0230819986588953,0.9264045744556815,30
2003/2004,QLD,Cadmium & compounds,6810.1725,154.853904,329.6512246,274
2003/2004,QLD,Lead & compounds,279309.1421,4104.0442,655.3138246,294
2003/2004,QLD,Mercury & compounds,1586.4329073,55.46229999999999,6.6797518,246
2003/2004,SA,Cadmium & compounds,3272.520391060296,733.071700591594,0.047282821615226095,78
2003/2004,SA,Lead & compounds,50675.8539666878,5842.637210004032,136.13529617999166,84
